ticket_id,start_date,resolve_date,priority,category,sub_category,department,assignee_team,sla_status,resolution_time_hrs,customer_impact,major_event,is_holiday,is_weekend,day_of_week,month,ticket_volume_day
TCKT_0001,2025-05-02 20:32:16,2025-05-05 16:32:16,High,Software,Login Issue,IT,Hardware Support,Breached,68.0,Low,Security Patch,1,0,Friday,5,221
TCKT_0002,2024-12-18 16:18:55,2024-12-20 14:18:55,High,Hardware,Monitor Issue,Finance,Hardware Support,Breached,46.0,Medium,Server Maintenance,0,0,Wednesday,12,236
TCKT_0003,2024-11-04 14:00:42,2024-11-06 02:00:42,Low,Access,Password Reset,Admin,Infra Team,Met,36.0,High,Server Maintenance,0,0,Monday,11,226
TCKT_0004,2025-03-01 23:22:33,2025-03-02 04:22:33,Critical,Network,WiFi Issue,Finance,Hardware Support,Met,5.0,Medium,System Upgrade,0,1,Saturday,3,130
TCKT_0005,2025-07-28 12:06:31,2025-07-29 20:06:31,Critical,Software,Update Error,Admin,Hardware Support,Met,32.0,High,System Upgrade,1,0,Monday,7,121
TCKT_0006,2025-09-30 11:49:54,2025-10-03 06:49:54,Medium,Hardware,Monitor Issue,IT,Hardware Support,Breached,67.0,Low,None,1,0,Tuesday,9,100
TCKT_0007,2024-12-24 08:04:45,2024-12-24 11:04:45,Medium,Hardware,System Crash,Finance,Infra Team,Met,3.0,Medium,None,0,0,Tuesday,12,187
TCKT_0008,2025-05-08 14:47:30,2025-05-11 04:47:30,Critical,Network,Router Failure,HR,Infra Team,Breached,62.0,High,Server Maintenance,0,0,Thursday,5,215
TCKT_0009,2025-07-11 22:18:24,2025-07-13 21:18:24,High,Software,Login Issue,Finance,App Support,Breached,47.0,Low,Security Patch,0,0,Friday,7,133
TCKT_0010,2025-07-12 00:52:39,2025-07-13 18:52:39,Critical,Hardware,Monitor Issue,IT,Hardware Support,Breached,42.0,High,Product Launch,1,1,Saturday,7,196
TCKT_0011,2024-10-29 22:30:45,2024-10-31 15:30:45,High,Hardware,System Crash,Admin,App Support,Breached,41.0,Low,Security Patch,0,0,Tuesday,10,180
TCKT_0012,2025-08-10 23:34:35,2025-08-12 02:34:35,Medium,Access,Account Lock,HR,Hardware Support,Breached,27.0,Low,Server Maintenance,1,1,Sunday,8,162
TCKT_0013,2025-07-17 11:43:34,2025-07-18 21:43:34,Medium,Network,Router Failure,Admin,Infra Team,Met,34.0,High,Security Patch,0,0,Thursday,7,226
TCKT_0014,2025-06-02 15:38:08,2025-06-04 21:38:08,Low,Software,Login Issue,HR,Hardware Support,Breached,54.0,Low,System Upgrade,0,0,Monday,6,233
TCKT_0015,2025-02-21 20:27:41,2025-02-23 11:27:41,Low,Hardware,Monitor Issue,Admin,Hardware Support,Met,39.0,Low,Security Patch,1,0,Friday,2,218
TCKT_0016,2025-05-17 21:27:27,2025-05-19 03:27:27,Medium,Access,Account Lock,HR,Infra Team,Met,30.0,High,Security Patch,1,1,Saturday,5,185
TCKT_0017,2025-02-13 01:10:44,2025-02-13 11:10:44,Critical,Access,Password Reset,Admin,Infra Team,Met,10.0,Low,None,0,0,Thursday,2,248
TCKT_0018,2025-07-14 10:02:34,2025-07-15 13:02:34,Medium,Network,Router Failure,HR,App Support,Breached,27.0,Medium,None,1,0,Monday,7,239
TCKT_0019,2025-02-16 14:07:15,2025-02-17 11:07:15,Low,Network,Server Down,Finance,Hardware Support,Breached,21.0,Low,Server Maintenance,1,1,Sunday,2,189
TCKT_0020,2025-08-22 18:20:29,2025-08-24 13:20:29,Low,Access,Password Reset,IT,Infra Team,Breached,43.0,High,None,0,0,Friday,8,189
TCKT_0021,2025-04-13 21:30:31,2025-04-16 08:30:31,Critical,Network,WiFi Issue,Admin,Infra Team,Met,59.0,High,None,1,1,Sunday,4,187
TCKT_0022,2024-11-26 06:12:59,2024-11-28 22:12:59,Critical,Software,Login Issue,Admin,Infra Team,Breached,64.0,Low,Security Patch,0,0,Tuesday,11,169
TCKT_0023,2025-01-22 18:03:42,2025-01-24 06:03:42,Critical,Software,App Crash,IT,Hardware Support,Breached,36.0,High,Product Launch,1,0,Wednesday,1,107
TCKT_0024,2025-06-19 06:32:58,2025-06-19 14:32:58,Low,Software,UI Bug,Admin,Hardware Support,Met,8.0,High,None,1,0,Thursday,6,140
TCKT_0025,2025-09-21 03:17:42,2025-09-21 18:17:42,Critical,Hardware,Printer Issue,HR,Infra Team,Met,15.0,Medium,Server Maintenance,1,1,Sunday,9,135
TCKT_0026,2025-10-16 09:18:34,2025-10-18 17:18:34,Critical,Hardware,Keyboard Issue,Finance,App Support,Met,56.0,High,Server Maintenance,1,0,Thursday,10,109
TCKT_0027,2025-05-24 11:46:11,2025-05-26 04:46:11,Low,Hardware,Printer Issue,IT,App Support,Breached,41.0,Medium,None,0,1,Saturday,5,216
TCKT_0028,2024-11-01 09:32:09,2024-11-02 10:32:09,Low,Network,Router Failure,IT,Infra Team,Breached,25.0,Medium,Server Maintenance,0,0,Friday,11,144
TCKT_0029,2025-02-21 06:58:48,2025-02-24 01:58:48,Critical,Access,Account Lock,Admin,Hardware Support,Breached,67.0,Low,System Upgrade,0,0,Friday,2,218
TCKT_0030,2025-10-10 06:58:28,2025-10-11 04:58:28,High,Hardware,Keyboard Issue,Admin,App Support,Met,22.0,Low,None,1,0,Friday,10,221
TCKT_0031,2025-08-12 11:32:30,2025-08-13 14:32:30,Low,Network,Router Failure,IT,Infra Team,Met,27.0,Low,Product Launch,0,0,Tuesday,8,123
TCKT_0032,2025-10-15 02:45:51,2025-10-16 15:45:51,Low,Software,App Crash,HR,Hardware Support,Met,37.0,High,Server Maintenance,1,0,Wednesday,10,236
TCKT_0033,2025-04-29 22:42:43,2025-05-02 11:42:43,Medium,Access,Access Request,Finance,Hardware Support,Met,61.0,High,Product Launch,1,0,Tuesday,4,114
TCKT_0034,2025-03-28 18:58:05,2025-03-29 21:58:05,Medium,Hardware,Keyboard Issue,Finance,Hardware Support,Met,27.0,Low,Server Maintenance,1,0,Friday,3,193
TCKT_0035,2024-10-29 23:40:15,2024-10-30 11:40:15,Critical,Network,Server Down,Admin,Hardware Support,Breached,12.0,Low,System Upgrade,1,0,Tuesday,10,234
TCKT_0036,2025-04-16 12:56:28,2025-04-19 01:56:28,Low,Access,Password Reset,IT,App Support,Met,61.0,Medium,None,0,0,Wednesday,4,247
TCKT_0037,2025-07-04 16:53:35,2025-07-06 13:53:35,Medium,Software,UI Bug,IT,Hardware Support,Breached,45.0,Medium,System Upgrade,1,0,Friday,7,222
TCKT_0038,2025-08-04 06:01:22,2025-08-04 09:01:22,Critical,Access,Access Request,Admin,Hardware Support,Met,3.0,High,None,0,0,Monday,8,156
TCKT_0039,2025-03-02 22:46:07,2025-03-03 05:46:07,Low,Hardware,Monitor Issue,IT,App Support,Breached,7.0,Low,Product Launch,0,1,Sunday,3,148
TCKT_0040,2025-02-15 09:24:23,2025-02-17 22:24:23,Medium,Access,Account Lock,HR,App Support,Breached,61.0,Low,System Upgrade,0,1,Saturday,2,220
TCKT_0041,2025-10-01 08:26:45,2025-10-02 07:26:45,Medium,Access,Password Reset,IT,Hardware Support,Breached,23.0,Low,None,1,0,Wednesday,10,144
TCKT_0042,2024-10-25 04:15:52,2024-10-27 22:15:52,Low,Access,Access Request,IT,Infra Team,Breached,66.0,Medium,Security Patch,0,0,Friday,10,224
TCKT_0043,2024-10-17 06:34:08,2024-10-19 09:34:08,Low,Access,Account Lock,Admin,Infra Team,Breached,51.0,High,System Upgrade,1,0,Thursday,10,217
